366.0,2021-04-12 01:11:30.413313
389.0,2021-04-12 01:11:30.976038
204.0,2021-04-12 01:11:31.040652
438.5,2021-04-12 01:11:31.528065
330.5,2021-04-12 01:11:32.008921
311.5,2021-04-12 01:11:32.441427
699.5,2021-04-12 01:11:32.921291
462.0,2021-04-12 01:11:33.297460
268.0,2021-04-12 01:11:33.713514
241.0,2021-04-12 01:11:34.096995
256.0,2021-04-12 01:11:34.460866
278.0,2021-04-12 01:11:34.867387
162.0,2021-04-12 01:11:34.920940
699.5,2021-04-12 01:11:35.310206
190.5,2021-04-12 01:11:35.353692
231.5,2021-04-12 01:11:35.413017
203.5,2021-04-12 01:11:35.456454
736.5,2021-04-12 01:11:35.805075
186.5,2021-04-12 01:11:35.835738
242.0,2021-04-12 01:11:35.887378
192.0,2021-04-12 01:11:35.938074
661.5,2021-04-12 01:11:36.255928
353.0,2021-04-12 01:11:36.300142
219.5,2021-04-12 01:11:36.352151
638.5,2021-04-12 01:11:36.642823
112.5,2021-04-12 01:11:36.726072
198.5,2021-04-12 01:11:36.768444
114.5,2021-04-12 01:11:36.813361
233.5,2021-04-12 01:11:36.866219
519.0,2021-04-12 01:11:37.185220
322.0,2021-04-12 01:11:37.225088
121.0,2021-04-12 01:11:37.275229
527.0,2021-04-12 01:11:37.579480
261.0,2021-04-12 01:11:37.626985
178.5,2021-04-12 01:11:37.669119
128.0,2021-04-12 01:11:37.724371
1442.5,2021-04-12 01:11:38.045469
137.0,2021-04-12 01:11:38.086174
574.0,2021-04-12 01:11:38.162556
129.0,2021-04-12 01:11:38.209615
145.5,2021-04-12 01:11:38.261838
811.0,2021-04-12 01:11:38.581368
404.0,2021-04-12 01:11:38.842847
240.5,2021-04-12 01:11:39.127112
108.0,2021-04-12 01:11:39.169142
401.0,2021-04-12 01:11:39.457538
432.0,2021-04-12 01:11:39.745862
283.0,2021-04-12 01:11:40.036069
120.0,2021-04-12 01:11:40.077562
290.0,2021-04-12 01:11:40.341327
129.5,2021-04-12 01:11:40.383574
236.5,2021-04-12 01:11:40.668843
272.0,2021-04-12 01:11:40.941366
268.0,2021-04-12 01:11:41.242407
